,Region,Country,Brand,Notes
0,Africa,Algeria,Condor,
1,Asia,Bangladesh,Walton,
2,Oceania,Australia,Kogan,
3,South America,Brazil,DL,
4,South America,Brazil,Gradiente,
5,South America,Brazil,Multilaser,
6,South America,Brazil,Positivo,
7,Asia,China,10.Or (Tenor),Manufactured by Huaqin Telecom Technology Co. Ltd.
8,Asia,China,Amoi,
9,Asia,China,BBK,
10,Asia,China,Coolpad,Subsidiary of LeEco
11,Asia,China,Cubot,
12,Asia,China,Gfive,
13,Asia,China,Haier,
14,Asia,China,Hisense,
15,Asia,China,Honor,"Owned by Shenzhen Zhixin New Information Technology Co., Ltd."
16,Asia,China,Huawei,
17,Asia,China,Infinix,Subsidiary of Transsion
18,Asia,China,Itel Mobile,Subsidiary of Transsion
19,Asia,China,iQOO,"Owned by Vivo, Subsidiary of BBK"
20,Asia,China,Konka,
21,Asia,China,LeEco,
22,Asia,China,Meitu,
23,Asia,China,Meizu,
24,Asia,China,Ningbo Bird,
25,Asia,China,OnePlus,"Owned by Oppo, Subsidiary of BBK"
26,Asia,China,Oppo,Subsidiary of BBK
27,Asia,China,Realme,"Owned by Oppo, Subsidiary of BBK"
28,Asia,China,Smartisan,
29,Asia,China,TCL Corporation,
30,Asia,China,Technology Happy Life,
31,Asia,China,Tecno Mobile,Subsidiary of Transsion
32,Asia,China,Umidigi,
33,Asia,China,Vivo,Subsidiary of BBK
34,Asia,China,Vsun,
35,Asia,China,Wasam,
36,Asia,China,Xiaomi,
37,Asia,China,ZTE,
38,Europe,Czech Republic,Jablotron,
39,Europe,Czech Republic,Verzo,
40,Africa,Egypt,SICO Technology,
41,Europe,Finland,Jolla,
42,Europe,Finland,Nokia Corporation,Hardware development delegated to third party
43,Europe,Finland,HMD Global,Develops Nokia-branded feature phones and smartphones since 2016
44,Europe,Finland,Bittium,
45,Europe,France,Archos,
46,Europe,France,Alcatel Mobile,Owned by Nokia and used under license by TCL Technology
47,Europe,France,Groupe Bull,
48,Europe,France,MobiWire,Formerly Sagem Wireless
49,Europe,France,Wiko,
50,Europe,Germany,Gigaset,
51,Europe,Germany,Medion,Subsidiary of Lenovo
52,Europe,Germany,SHIFT,
53,Europe,Germany,TechniSat,
54,Europe,Germany,Tiptel,
55,Europe,Greece,MLS,
56,Asia,Hong Kong,X-tigi Mobile,
57,Asia,Hong Kong,Lenovo,
58,Asia,Hong Kong,Infinix,Subsidiary of Transsion
59,Asia,India,Celkon,
60,Asia,India,Iball,
61,Asia,India,Intex Technologies,
62,Asia,India,Karbonn Mobiles,
63,Asia,India,Lava International,
64,Asia,India,HCL Technologies,
65,Asia,India,Jio,
66,Asia,India,LYF,
67,Asia,India,Micromax Informatics,
68,Asia,India,Onida Electronics,
69,Asia,India,Spice Digital,
70,Asia,India,Videocon,
71,Asia,India,Xolo,Subsidiary of Lava International
72,Asia,Indonesia,Nexian,
73,Asia,Indonesia,MiTO,
74,Asia,Indonesia,Advan,
75,Asia,Indonesia,Evercoss,
76,Asia,Indonesia,SPC,
